"","codigo","nombre_de_la_estacion","tiempo_de_antelacion","tipo_estacion"
"1",2002,"Puente Genil-Herrera","30 m.","Nacional"
"2",2003,"Antequera Sta. Ana","30 m.","Nacional"
"3",3100,"Jaén","30 m.","Nacional"
"4",3208,"Cuenca AV FZ","30 m.","Nacional"
"5",3213,"Requena-Utiel","12 H.","Nacional"
"6",3216,"Valencia AV JS","30 m.","Nacional"
"7",3309,"Villena AV","12 H.","Nacional"
"8",4007,"Guadalajara Yebes","30 m.","Nacional"
"9",4040,"Zaragoza Delicias","30 m.","Regional"
"10",4104,"Camp de Tarragona","30 m.","Nacional"
"11",4307,"Figueres Vilafant","30 m.","Nacional"
"12",5000,"Granada","30 m.","Nacional"
"13",8004,"Segovia AV","30 m.","Nacional"
"14",8223,"Vigo-Urzaiz","30 m.","Nacional"
"15",8224,"Redondela AV","12 H.","Nacional"
"16",8240,"Medina del Campo AV","12 H.","Nacional"
"17",10200,"Villalba de Guadarrama","12 H.","Regional"
"18",10400,"Avila","30 m.","Nacional"
"19",10500,"Medina del Campo","12 H.","Nacional"
"20",10600,"Valladolid","30 m.","Nacional"
"21",11014,"Burgos Rosa de Lima","30 m.","Nacional"
"22",11109,"Briviesca","12 H.","Nacional"
"23",11200,"Miranda de Ebro","30 m.","Nacional"
"24",11208,"Vitoria / Gasteiz","30 m.","Nacional"
"25",11511,"San Sebastián / Donostia","30 m.","Regional"
"26",11600,"Irún","30 m.","Regional"
"27",13200,"Bilbao (Interm Abando I P)","30 m.","Regional"
"28",14100,"Palencia","30 m.","Nacional"
"29",14200,"Mataporquera","12 H.","Regional"
"30",14223,"Santander","30 m.","Regional"
"31",15009,"Sahagún","12 H.","Nacional"
"32",15100,"León","30 m.","Nacional"
"33",15203,"Mieres Puente","12 H.","Regional"
"34",15211,"Oviedo","30 m.","Regional"
"35",15410,"Gijón","30 m.","Regional"
"36",17000,"Madrid Chamartín","30 m.","Regional"
"37",18000,"Madrid Atocha Cercanías","30 m.","Regional"
"38",20005,"Veguellina","12 H.","Nacional"
"39",20100,"Astorga","12 H.","Nacional"
"40",20200,"Ponferrada","12 H.","Nacional"
"41",20211,"O Barco de Valdeorras","12 H.","Nacional"
"42",20300,"Monforte de Lemos","30 m.","Nacional"
"43",20305,"Sarria","12 H.","Nacional"
"44",20309,"Lugo","30 m.","Nacional"
"45",21010,"Ferrol","12 H.","Regional"
"46",22100,"Ourense","30 m.","Nacional"
"47",22308,"Vigo-Guixar","12 H.","Nacional"
"48",23004,"Pontevedra","30 m.","Nacional"
"49",23008,"Villagarcia de Arousa","12 H.","Nacional"
"50",30002,"Plasencia","12 H.","Nacional"
"51",30100,"Salamanca","30 m.","Nacional"
"52",30200,"Zamora","12 H.","Nacional"
"53",31400,"Santiago de Compostela","30 m.","Nacional"
"54",31412,"A Coruña","30 m.","Nacional"
"55",34010,"Peñaranda de Bracamonte","12 H.","Nacional"
"56",35200,"Talavera de la Reina","12 H.","Nacional"
"57",35203,"Oropesa de Toledo","12 H.","Nacional"
"58",35206,"Navalmoral de la Mata","12 H.","Nacional"
"59",35400,"Cáceres","30 m.","Nacional"
"60",37200,"Ciudad Real","30 m.","Nacional"
"61",37300,"Puertollano","30 m.","Nacional"
"62",37406,"Villanueva de la Serena","12 H.","Nacional"
"63",37500,"Mérida","30 m.","Nacional"
"64",37603,"Montijo","12 H.","Nacional"
"65",37606,"Badajoz","30 m.","Nacional"
"66",37704,"Villanueva de Cordoba-Los Pedroches","12 H.","Nacional"
"67",43011,"La Palma del Condado","12 H.","Nacional"
"68",43019,"Huelva","30 m.","Nacional"
"69",50100,"Manzanares","12 H.","Nacional"
"70",50300,"Linares Baeza","30 m.","Nacional"
"71",50400,"Espeluy","12 H.","Nacional"
"72",50417,"Universidad de Rabanales","12 H.","Nacional"
"73",50500,"Córdoba","30 m.","Nacional"
"74",51003,"Sevilla Santa Justa","30 m.","Regional"
"75",51203,"Lebrija","12 H.","Regional"
"76",51300,"Jerez de la Frontera","30 m.","Regional"
"77",51400,"Puerto de Santa María","12 H.","Regional"
"78",51405,"Cádiz","30 m.","Regional"
"79",51406,"San Fernando-Bahía Sur","30 m.","Regional"
"80",54105,"Montilla","12 H.","Regional"
"81",54400,"Bobadilla","12 H.","Nacional"
"82",54413,"Málaga","30 m.","Regional"
"83",55007,"Ronda","12 H.","Nacional"
"84",55020,"Algeciras","30 m.","Nacional"
"85",56312,"Almería Intermodal","30 m.","Nacional"
"86",60000,"Madrid Pta. Atocha","30 m.","Nacional"
"87",60203,"Villasequilla","12 H.","Nacional"
"88",60300,"Villacañas","12 H.","Nacional"
"89",60400,"Alcázar de San Juan","30 m.","Nacional"
"90",60406,"Socuellamos","12 H.","Nacional"
"91",60500,"Villarrobledo","12 H.","Nacional"
"92",60600,"Albacete","30 m.","Nacional"
"93",60800,"Almansa","12 H.","Nacional"
"94",60902,"Villena","12 H.","Nacional"
"95",60905,"Elda-Petrer","12 H.","Nacional"
"96",60911,"Alacant","30 m.","Regional"
"97",61200,"Murcia","30 m.","Regional"
"98",61303,"Balsicas-Mar Menor","12 H.","Nacional"
"99",61307,"Cartagena","30 m.","Nacional"
"100",64100,"Xátiva","12 H.","Regional"
"101",65000,"Valencia Estació del Nord","30 m.","Regional"
"102",65200,"Sagunto","12 H.","Regional"
"103",65300,"Castelló","30 m.","Regional"
"104",65311,"Benicarlo-Peñiscola","12 H.","Nacional"
"105",65312,"Vinaros","12 H.","Nacional"
"106",65318,"Benicassin","12 H.","Nacional"
"107",65400,"Tortosa","12 H.","Nacional"
"108",65402,"L'Aldea Amposta","12 H.","Nacional"
"109",65411,"Port Aventura","12 H.","Nacional"
"110",66100,"Cuenca","12 H.","Nacional"
"111",67200,"Teruel","30 m.","Nacional"
"112",69104,"Cullera","12 H.","Regional"
"113",69110,"Gandía","12 H.","Regional"
"114",70600,"Calatayud","30 m.","Nacional"
"115",71400,"Reus","12 H.","Nacional"
"116",71500,"Tarragona","30 m.","Nacional"
"117",71503,"Torredembarra","12 H.","Nacional"
"118",71801,"Barcelona -Sants","30 m.","Regional"
"119",74200,"Huesca","30 m.","Nacional"
"120",78400,"Lleida Pirineus","30 m.","Nacional"
"121",79300,"Girona","30 m.","Nacional"
"122",79303,"Flaça","12 H.","Nacional"
"123",79309,"Figueres","12 H.","Nacional"
"124",79315,"Portbou","12 H.","Nacional"
"125",79400,"Barcelona França","12 H.","Regional"
"126",80100,"Pamplona","30 m.","Nacional"
"127",80108,"Tafalla","12 H.","Nacional"
"128",81100,"Logroño","30 m.","Nacional"
"129",81108,"Calahorra","12 H.","Nacional"
"130",81200,"Castejón de Ebro","12 H.","Nacional"
"131",81202,"Tudela de Navarra","12 H.","Nacional"
"132",81205,"Cortes de Navarra","12 H.","Nacional"
"133",82100,"Soria","12 H.","Nacional"
"134",92102,"Toledo","30 m.","Nacional"
"135",94002,"Daimiel","12 H.","Nacional"
